"id";"ll_author_id";"nl_author_id";"born_date";"author_name"
426;313280;0;"-3017980668";"Марко Черемшина"
427;173912;0;"-1250841468";"Поль Вен"
428;2637;0;"358614131";"Кирилл Шарапов"
429;175928;0;"-524995067";"Жорж Диди-Юберман"
430;154991;0;"-1661067456";"Аугусто Роа Бастос"
431;376909;0;"-1534838267";"Иосиф Баренбаум"
432;399763;0;"-367228667";"Михаил Кальницкий"
433;102547;0;"-2197525056";"Ида Наппельбаум"
434;355734;0;"-2229062267";"Аксель Бакунц"
435;335040;0;"-2323670267";"Пётр Замойский"
436;247275;0;"-1282377467";"Эльга Юровская"
437;632487;0;"-1913528256";"Владімір Нефф"
438;337283;0;"-6867878266";"Фанни Бёрни"
439;311677;0;"-367228666";"Сергей Маковецкий"
440;235234;0;"11462533";"Светлана Чураева"
441;233254;0;"-588153466";"Александр Казарновский"
442;985339;0;"-935222266";"Вацлав Грабье"
443;547627;0;"-1818833855";"Виктор Фишл"
444;398686;0;"516380533";"Иван Смирнов"
445;372055;0;"390150133";"Наиля Ямакова"
446;347499;0;"516380533";"Мэри Кейт и Эшли Олсен"
447;186977;0;"-1313913465";"Семен Виленский"
448;142868;0;"-777455865";"Wayne Karlin"
449;106604;0;"-651225465";"Алексей Алехин"
450;708645;0;"-1156147065";"Марианна Дэвлет"
451;682574;0;"-1818833854";"Оскар Серруто"
452;575884;0;"-10118246265";"Лудолф Смидс"
453;499926;0;"-304070265";"Александр Попов"
454;214890;0;"-714383865";"Бра́йан Мэй"
455;208651;0;"-3491366265";"Анатолий Леман"
456;199371;0;"-619689463";"Николай Китаев"
457;191583;0;"-1061452663";"Борис Минин"
458;110062;0;"-2481436661";"Александр Волков"
459;25284;0;"-5006044661";"Гарриет Бичер-Стоу"
460;228229;0;"-966758261";"Питер Мейл"
461;125731;0;"-2228975861";"Ясунари Кавабата"
462;319447;0;"295545738";"Анна Никольская-Эксели"
463;26755;0;"-1156060661";"Ежи Косинский"
464;104072;0;"-745833461";"Дональд Трамп"
465;125069;0;"-1313827061";"Эрнесто Гевара"
466;227152;0;"-4185503861";"Джон Томпсон"
467;168128;0;"-651139059";"Гарри Тертлдав"
468;6408;0;"-1440057459";"Владимир Солоухин"
469;124677;0;"74707340";"Юлия Галанина"
470;234043;0;"11548940";"Александр Куланов"
471;28634;0;"106243340";"Михаил Кликин"
472;150751;0;"-2576044659";"Николай Огнев"
473;114197;0;"-19987059";"Майкл Гербер"
474;367;0;"-335606259";"Наталья Резанова"
475;113785;0;"-840527859";"Юрий Перов"
476;500310;0;"-1282291058";"Кэйдзо Хино"
477;227968;0;"-398678258";"Марк Хаскелл Смит"
478;460886;0;"-367142258";"Джеймс Гарни"
479;339452;0;"516466941";"Татьяна Задорожная"
480;320534;0;"-588067058";"Александр Сокуров"
481;231668;0;"327168141";"Антон Вильгоцкий"
482;28126;0;"-966758258";"Колин Таброн"
483;369942;0;"327168141";"Всеволод Кшесинский"
484;202148;0;"-1408521458";"Серж Московичи"
485;300336;0;"-1881905846";"Адальбер-Гюстав Аман Аман"
486;319171;0;"-2197438646";"Богуслав Суйковский"
487;229239;0;"232473742";"Даль Ён Им"
488;689427;0;"74707342";"Константин Слепинин"
489;332822;0;"-2228975857";"Джордже Кэлинеску"
490;511814;0;"-3522815857";"Карл Штрац"
491;328095;0;"-966758257";"Пенелопа Фармер"
492;306922;0;"-682675057";"Геннадий Тищенко"
493;512395;0;"-1029830257";"Владимир Туболев"
494;336324;0;"-2512972655";"Елизавета Полонская"
495;314104;0;"-4185503855";"Бернгард Куглер"
496;151299;0;"-2355206255";"Карл Хайнц Абсхаген"
497;339321;0;"-398678255";"Мона Симпсон"
498;170360;0;"-2828505455";"Николай Врангель"
499;114153;0;"-651139055";"Дэн Черненко"
500;966054;0;"-1376985455";"Леонид Васильев"
501;2474;0;"-872067455";"Виктор Аладьев"
502;355982;0;"390236544";"Адам Шостак"
503;234355;0;"-83145454";"Мари Ндьяй"
504;18965;0;"74707345";"Андре Ламот"
505;634362;0;"-1755675443";"Николай Александрович"
506;529366;0;"-3238819054";"Митрофан Довнар-Запольский"
507;397938;0;"-619603054";"Роуэн Уильямс"
508;13517;0;"-966671852";"Брайан Джейкс"
509;25087;0;"-3238732652";"Константин Бальмонт"
510;162461;0;"-1029743852";"Лев Лосев"
511;3391;0;"-966671852";"Анатолий Ким"
512;154443;0;"-840441452";"Ксавьера Холландер"
513;235732;0;"-2134280241";"Эрик Хомбургер Эриксон"
514;311442;0;"-1881819441";"Идрис Базоркин"
515;409204;0;"327254547";"Алексей Чижовский"
516;348036;0;"-335519852";"Евгений Сатановский"
517;25090;0;"-619516650";"Виталий Бабенко"
518;17277;0;"-1313740650";"Владимир Муравьев"
519;510688;0;"-2008049839";"Леон Дегрелль"
520;146760;0;"-682588650";"Ханс Ульрих Гумбрехт"
521;307296;0;"-1313740650";"Фазлиддин Мухаммадиев"
522;200018;0;"-6520636650";"Кобаяси Исса"
523;113739;0;"106329749";"Владислав Силин"
524;197948;0;"201024149";"Каролина Клинтон"
525;160577;0;"-714211050";"Дава Собел"
526;12046;0;"-2228889449";"Пьер Ла Мюр"
527;449045;0;"-1566200238";"Василий Пасецкий"
528;329863;0;"-682588649";"Анатолий Бутевич"
529;337695;0;"-1818661038";"Оскар Хавкин"
530;156866;0;"-1913355438";"Эльмар Грин"
531;303483;0;"-1282204649";"Факир Байкурт"
532;204168;0;"-2134280238";"Лон Лавуа Фуллер"
533;435049;0;"-966671849";"Ласло Л. Леринц"
534;302688;0;"-1313740649";"Пьер Синьяк"
535;676456;0;"-714211048";"Юрий Завельский"
536;664833;0;"-1471593448";"Валентин Мясников"
537;403547;0;"-9644687848";"Жан Мелье"
538;313055;0;"-2260425448";"Мария Вега"
539;178619;0;"-2165816237";"Николо Аббаньяно"
540;452571;0;"579711751";"Евгения Волосова"
541;30808;0;"-556358248";"Михаил Берг"
542;658581;0;"-714211048";"Т. Э. Д. Клайн"
543;541132;0;"-1313740648";"Иренеус Эйбль-Эйбесфельдт"
544;169376;0;"-3996115046";"Эдвард Григ"
545;282271;0;"-430127846";"Николай Смирнов"
546;213236;0;"-619516646";"Петр Ткаченко"
547;190222;0;"-1061279846";"Вадим Фадин"
